"Account","RouteTable","Route","Connection"
"LegacyDev","rtb-75b4c711","172.16.0.26/32","vgw-a52615b8"
"LegacyDev","rtb-75b4c711","172.16.0.24/29","vgw-a52615b8"
"LegacyDev","rtb-75b4c711","172.16.1.24/29","vgw-a52615b8"
"LegacyDev","rtb-75b4c711","172.16.1.56/29","vgw-a52615b8"
"LegacyDev","rtb-75b4c711","10.0.238.0/24","vgw-a52615b8"
"LegacyDev","rtb-75b4c711","10.100.101.0/24","vgw-a52615b8"
"LegacyDev","rtb-75b4c711","192.168.16.0/22","vgw-a52615b8"
"LegacyDev","rtb-75b4c711","10.65.0.0/17","pcx-d96cd9b0"
"LegacyDev","rtb-75b4c711","10.0.0.0/16","vgw-a52615b8"
"LegacyDev","rtb-75b4c711","10.131.0.0/16","pcx-c47ebdad"
"LegacyDev","rtb-e87d2f8c","10.0.238.0/24","vgw-a52615b8"
"LegacyDev","rtb-e87d2f8c","10.65.0.0/16","pcx-d96cd9b0"
"LegacyDev","rtb-e87d2f8c","10.131.0.0/16","pcx-c47ebdad"
"LegacyDev","rtb-e87d2f8c","192.168.16.0/22","vgw-a52615b8"
"LegacyDev","rtb-e87d2f8c","10.0.0.0/16","vgw-a52615b8"
"LegacyDev","rtb-ec41be88","10.0.238.0/24","vgw-a52615b8"
"LegacyDev","rtb-ec41be88","10.100.101.0/24","vgw-a52615b8"
"LegacyDev","rtb-ec41be88","192.168.16.0/22","vgw-a52615b8"
"LegacyDev","rtb-ec41be88","10.65.0.0/17","pcx-d96cd9b0"
"LegacyDev","rtb-ec41be88","10.0.0.0/16","vgw-a52615b8"
"LegacyDev","rtb-ec41be88","10.131.0.0/16","pcx-c47ebdad"
"LegacyDev","rtb-51532934","10.0.238.0/24","vgw-a52615b8"
"LegacyDev","rtb-51532934","10.65.0.0/17","pcx-d96cd9b0"
"LegacyDev","rtb-51532934","10.131.0.0/16","pcx-c47ebdad"
"LegacyDev","rtb-51532934","192.168.16.0/22","vgw-a52615b8"
"LegacyDev","rtb-51532934","10.0.0.0/16","vgw-a52615b8"
"LegacyDev","rtb-826230e6","10.0.238.0/24","vgw-a52615b8"
"LegacyDev","rtb-826230e6","10.65.0.0/17","pcx-d96cd9b0"
"LegacyDev","rtb-826230e6","10.131.0.0/16","pcx-c47ebdad"
"LegacyDev","rtb-826230e6","192.168.16.0/22","vgw-a52615b8"
"LegacyDev","rtb-826230e6","10.0.0.0/16","vgw-a52615b8"
"LegacyDev","rtb-fdf47298","10.0.238.0/24","vgw-a52615b8"
"LegacyDev","rtb-fdf47298","10.65.0.0/17","pcx-d96cd9b0"
"LegacyDev","rtb-fdf47298","10.131.0.0/16","pcx-c47ebdad"
"LegacyDev","rtb-fdf47298","192.168.16.0/22","vgw-a52615b8"
"LegacyDev","rtb-fdf47298","10.0.0.0/16","vgw-a52615b8"
"LegacyDev","rtb-16f07673","10.0.238.0/24","vgw-a52615b8"
"LegacyDev","rtb-16f07673","10.64.0.0/17","pcx-08423361"
"LegacyDev","rtb-16f07673","10.65.0.0/16","pcx-d96cd9b0"
"LegacyDev","rtb-16f07673","10.131.0.0/16","pcx-c47ebdad"
"LegacyDev","rtb-16f07673","192.168.16.0/22","vgw-a52615b8"
"LegacyDev","rtb-16f07673","10.0.0.0/16","vgw-a52615b8"
"SandboxD3","rtb-0e1304384a515f9fa","10.94.0.0/16","pcx-0aeae2dd703bc4755"
"SandboxD3","rtb-072a7207854b71089","10.94.0.0/16","pcx-0aeae2dd703bc4755"
